countrycode,country,rgdpo,pop,emp,hc,ccon,pcgdp
ABW,Aruba,3444.65869140625,0.105845,0.0473908968269825,,3040.98120117188,32544.3685710827
AGO,Angola,233805.0625,30.809787,16.0783309936523,1.4746345281601,158327.59375,7588.66208649868
AIA,Anguilla,150.344665527344,0.014731,,,349.824493408203,10206.0053986385
ALB,Albania,35363.46875,2.88274,1.07106351852417,2.95806837081909,32310.873046875,12267.3112212687
ARE,United Arab Emirates,633896.625,9.630959,5.73991298675537,2.74340224266052,269720.59375,65818.640179031
ARG,Argentina,1021129.3125,44.36115,20.1350708007813,3.06596803665161,870688.25,23018.5491697127
ARM,Armenia,40110.83984375,2.951745,0.926079332828522,3.13321995735168,38611.03515625,13588.8567080659
ATG,Antigua and Barbuda,1558.20886230469,0.096286,,,1819.48828125,16183.1300739951
AUS,Australia,1350395.25,24.898152,12.6194372177124,3.53604745864868,955482,54236.766246748
AUT,Austria,470960.75,8.891388,4.4884819984436,3.36999678611755,326326.9375,52968.1923677158
AZE,Azerbaijan,154641.234375,9.949537,5.03152704238892,,120846.4765625,15542.5558370204
BDI,Burundi,9026.5361328125,11.175374,4.84106779098511,1.40283358097076,9665.0400390625,807.716693223198
BEL,Belgium,507573.0625,11.482178,4.83939981460571,3.14273524284363,388230.46875,44205.2947184759
BEN,Benin,35813.25390625,11.485044,4.15568017959595,1.87931907176971,30164.4296875,3118.25134551074
BFA,Burkina Faso,40581.484375,19.751466,6.75672006607056,1.27230703830719,34465.66015625,2054.6061935352
BGD,Bangladesh,714599.5625,161.376708,64.3414001464844,2.07510161399841,577014.5625,4428.14561875931
BGR,Bulgaria,143782.765625,7.051608,3.33536028862,3.17438507080078,118890.2265625,20390.0678575723
BHR,Bahrain,77336.96875,1.569446,0.755233645439148,2.23335027694702,39723.44921875,49276.6038143396
BHS,Bahamas,12471.1474609375,0.385637,0.205174401402473,,9983.53515625,32339.0843226597
BIH,Bosnia and Herzegovina,44009.640625,3.323925,0.676943004131317,,43556.4140625,13240.2628293358
BLR,Belarus,200152.3125,9.452617,4.30364561080933,,162370.015625,21174.2750711258
BLZ,Belize,2219.21630859375,0.383071,0.153913795948029,3.57042860984802,2385.69970703125,5793.22451606556
BMU,Bermuda,3132.48071289063,0.062756,0.0343441143631935,,2923.00512695313,49915.2385889895
BOL,Bolivia (Plurinational State of),96384.859375,11.353142,5.40282011032105,2.93748831748962,85465.625,8489.70790420837
BRA,Brazil,3042121.5,209.469323,92.0909423828125,3.01947546005249,2531137.25,14522.9929444132
BRB,Barbados,3442.40258789063,0.286641,0.133671909570694,2.84086918830872,4112.8154296875,12009.4563858298
BRN,Brunei Darussalam,30037.193359375,0.428963,0.202298685908318,2.7864682674408,14079.3115234375,70022.8070005455
BTN,Bhutan,8643.509765625,0.754388,0.31373530626297,,6476.9892578125,11457.6448268331
BWA,Botswana,36344.578125,2.254068,0.913966119289398,2.91175222396851,26970.484375,16123.9936528091
CAF,Central African Republic,4441.0458984375,4.666368,1.80255019664764,1.55097663402557,4679.70654296875,951.713602192862
CAN,Canada,1833635,37.074562,18.9662284851074,3.7136721611023,1412702.25,49458.0354044371
CHE,Switzerland,636190.75,8.525611,4.97150182723999,3.69508242607117,336517.875,74621.1327258539
CHL,Chile,436137.21875,18.72916,7.99383497238159,3.12676072120667,333176.6875,23286.5338728485
CHN,China,19729128,1427.647786,799.306640625,2.67364239692688,10401390,13819.3244814796
CIV,Côte d'Ivoire,120752.5625,25.06923,7.28638172149658,1.67633152008057,101887.046875,4816.76391736005
CMR,Cameroon,90939.8359375,25.216267,10.0732107162476,1.89291405677795,78094.8203125,3606.39566266886
